sample_num,soil_let,soil_stress,soil_type,microbe_type,nickel,drought,tray,pds,height,leaf.num,date,sample_num_let,winrhizo_date,root_length,proj_area,root_surfacearea,root_diameter,root_length_per_volume,root_volume,wet.biomass.above,dry.biomass.above,moisture.above
50,A,S,serpentine,serpentine,no,no,7,2,2.5,6,11/12/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,1,.,.,12/1/18,3A,4/10/19 15:04,22.0236,0.6958,2.1859,0.3159,22.0236,0.017,0.05,0.05,.
70,A,S,serpentine,serpentine,no,no,6,1,.,.,8/22/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
1,A,S,serpentine,serpentine,no,no,8,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
2,A,S,serpentine,serpentine,no,no,4,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,8/22/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
3,A,S,serpentine,serpentine,no,no,9,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,8/29/18,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,9/3/18,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,9/10/18,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,9/17/18,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,9/24/18,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,10/1/18,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,10/8/18,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,10/15/18,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,10/22/18,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,10/29/18,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,11/12/18,.,.,.,.,.,.,.,.,.,.,.
4,A,S,serpentine,serpentine,no,no,5,.,.,.,11/5/19,.,.,.,.,.,.,.,.,.,.,.
