sample_num,dna_sample,dna_id,soil_let,soil_stress,soil_type,microbe_type,nickel,drought,tray,pds,date.collected,date.dna,pds.8.22.2018,height.8.22.2018,leaf.num.8.22.2018,date.8.22.2018,pds.8.29.2018,height.8.29.2018,leaf.num.8.29.2018,date.8.29.2018,pds.10.22.2018,height.10.22.2018,leaf.numpds.10.22.2018,date.10.22.2018,pds.9.3.2018,height.9.3.2018,leaf.num.9.3.2018,date.9.3.2018,pds.9.10.2018,height.9.10.2018,leaf.num.9.10.2018,date.9.10.2018,pds.9.24.2018,height.9.24.2018,leaf.num.9.24.2018,date.9.24.2018,pds.9.17.2018,height.9.17.2018,leaf.num.9.17.2018,date.9.17.2018,pds.10.1.2018,height.10.1.2018,leaf.num.10.1.2018,date.10.1.2018,pds.10.8.2018,height.10.8.2018,leaf.num.10.8.2018,date.10.8.2018,pds.10.15.2018,height.10.15.2018,leaf.num.10.15.2018,date.10.15.2018,pds.11.12.2018,height.11.12.2018,leaf.num.11.12.2018,date.11.12.2018,pds.11.19.2018,height.11.19.2018,leaf.num.11.19.2018,date.11.19.2018,pds.11.26.2018,height.11.26.2018,leaf.num.11.26.2018,date.11.26.2018,sample_num_let,Analysis Date Time,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),LenPerVol(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofNodules,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000
84,37A84,37,A,S,serpentine,serpentine,no,no,6,5,12/15/18,3/4/19,1,1.5,4,8/22/18,1,2,2,8/29/18,2,1.5,9,10/22/18,1,2.5,4,9/3/18,2,2,4,9/10/18,1,2,8,9/24/18,2,2.5,6,9/17/18,2,1,8,10/1/18,2,2,8,10/8/18,2,1.5,7,10/15/18,2,2,8,11/12/18,2,2,9,11/19/18,,,,11/26/18,,,,,,,,,,,,,,,,,,0.2663,129.0737,0.072,0,0,162,573,137,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,121.051,7.1516,0.767,0.0561,0,0,0,0,0,0,7.4118,1.4539,0.2821,0.03,0,0,0,0,0,0,2.3592,0.4628,0.0898,0.0095,0,0,0,0,0,0,0.0436,0.0244,0.0084,0.0013,0,0,0,0,0,0,158,3,1,0,0,0,0,0,0,0
71,108A71,108,A,S,serpentine,serpentine,no,no,1,4,11/17/18,4/10/19,1,1.5,4,8/22/18,2,2,4,8/29/18,3,2.5,9,10/22/18,1,2,4,9/3/18,2,2,5,9/10/18,2,2.5,6,9/24/18,2,2,6,9/17/18,2,2.5,8,10/1/18,2,2.5,9,10/8/18,2,3,10,10/15/18,4,3.5,4,11/12/18,,,,11/19/18,,,,11/26/18,71A,5/8/19 15:03,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,12.3,2.006,6.5706,1626 1536 1941 25711,MAG ANG DIAM LEN,Grey Intr cm 0.006368 0.006348 Scanner.Cal,GreyThdAutom-176,Smooth Off Area Off LWRatio Off,Off,1,11.7789,0.3853,1.2104,0.2505,89.3877,0.044,0,0,150,237,36,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,85.9376,2.6962,0.7004,0.0307,0.0227,0,0,0,0,0,5.1972,0.562,0.257,0.0216,0.0146,0,0,0,0,0,1.6543,0.1789,0.0818,0.0069,0.0046,0,0,0,0,0,0.0285,0.0098,0.0076,0.0012,0.0007,0,0,0,0,0,148,0,2,0,0,0,0,0,0,0
36,90A36,90,A,S,serpentine,serpentine,no,no,9,2,9/11/18,4/3/19,1,2,4,8/22/18,2,2,4,8/29/18,.,.,.,10/22/18,1,2,4,9/3/18,2,2.5,8,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,,,,11/19/18,,,,11/26/18,36A,10/24/19 10:27,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,29.8628,3.302,9.1948,1036 1300 1556 27482,MAG ANG DIAM LEN,Grey Intr cm 0.006350 0.006350,GreyThdAutom-171,Smooth Off Area Off LWRatio Off,Off,1,23.268,0.7328,2.3022,0.2052,122.7777,0.041,0,0,78,324,111,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,121.0287,1.7489,0,0,0,0,0,0,0,0,6.4157,0.3211,0,0,0,0,0,0,0,0,2.0422,0.1022,0,0,0,0,0,0,0,0,0.0315,0.0048,0,0,0,0,0,0,0,0,76,2,0,0,0,0,0,0,0,0
95,68A95,68,A,S,serpentine,serpentine,no,no,6,5,12/15/18,3/20/19,1,2,4,8/22/18,1,2.5,6,8/29/18,2,2.5,12,10/22/18,2,2.5,6,9/3/18,2,3,7,9/10/18,2,3,11,9/24/18,2,3,9,9/17/18,2,3,12,10/1/18,2,3,9,10/8/18,2,2,9,10/15/18,2,3.5,13,11/12/18,2,2.5,14,11/19/18,,,,11/26/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,67A26,67,A,S,serpentine,serpentine,no,no,8,5,12/15/18,3/20/19,1,2,4,8/22/18,1,2,4,8/29/18,.,.,.,10/22/18,1,2.5,3,9/3/18,2,3,6,9/10/18,2,2,7,9/24/18,2,3,8,9/17/18,2,2,9,10/1/18,2,2,10,10/8/18,2,2,11,10/15/18,2,5,11,11/12/18,3,4.5,11,11/19/18,,,,11/26/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,54A86,54,A,S,serpentine,serpentine,no,no,5,2,9/11/18,3/11/19,1,2,6,8/22/18,1,3,6,8/29/18,.,.,.,10/22/18,2,3,6,9/3/18,2,3,8,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,,,,11/19/18,,,,11/26/18,86A,10/29/19 10:10,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,18.9161,2.6098,7.2961,1506 1362 1917 25111,MAG ANG DIAM LEN,Grey Intr cm 0.006350 0.006350,GreyThdAutom-168,Smooth Off Area Off LWRatio Off,Off,1,11.0818,0.4426,1.3904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,51A32,51,A,S,serpentine,serpentine,no,no,9,2,9/11/18,3/11/19,1,2,4,8/22/18,1,2,4,8/29/18,.,.,.,10/22/18,1,2,4,9/3/18,2,2.5,7,9/10/18,.,.,.,9/24/18,,,,9/17/18,,,,10/1/18,,,,10/8/18,.,.,.,10/15/18,,,,11/12/18,,,,11/19/18,,,,11/26/18,32A,10/29/19 9:41,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,12.338,2.8003,4.5149,1284 1644 1725 23551,MAG ANG DIAM LEN,Grey Intr cm 0.006350 0.006350,GreyThdAutom-174,Smooth Off Area Off LWRatio Off,Off,1,12.4449,0.3533,1.1101,0.2675,29.943,0.017,0,0,31,33,6,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,28.9293,0.9777,0.0359,0,0,0,0,0,0,0,2.0178,0.1895,0.0119,0,0,0,0,0,0,0,0.6423,0.0603,0.0038,0,0,0,0,0,0,0,0.0131,0.003,0.0003,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0
49,40A49,40,A,S,serpentine,serpentine,no,no,4,5,12/15/18,3/4/19,1,2,4,8/22/18,1,2,4,8/29/18,.,.,.,10/22/18,1,2,4,9/3/18,2,2,5,9/10/18,2,2,8,9/24/18,2,2.5,5,9/17/18,2,2,8,10/1/18,2,2.5,11,10/8/18,2,2,14,10/15/18,2,3.5,15,11/12/18,,,,11/19/18,,,,11/26/18,49A,11/12/19 10:29,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,28.2367,2.8956,11.0236,1268 1436 1724 3172 4,MAG ANG DIAM LEN,Grey Intr cm 0.006350 0.006350,GreyThdAutom-170,Smooth Off Area Off LWRatio Off,Off,1,23.9552,0.6538,2.0541,0.3091,131.2458,0.098,0,0,144,665,173,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,118.4451,11.6373,0.9902,0.181,0,0,0,0,0,0,8.1416,2.3839,0.3562,0.0917,0,0,0,0,0,0,2.5916,0.7588,0.1134,0.0292,0,0,0,0,0,0,0.0524,0.0402,0.0103,0.0037,0,0,0,0,0,0,141,3,0,0,0,0,0,0,0,0
61,23A61,23,A,S,serpentine,serpentine,no,no,7,3,10/21/18,2/15/19,1,2,4,8/22/18,1,3,5,8/29/18,.,.,.,10/22/18,1,4,6,9/3/18,2,3.5,8,9/10/18,2,3,11,9/24/18,2,2,6,9/17/18,2,2,9,10/1/18,2,1.5,9,10/8/18,3,2,8,10/15/18,,,,11/12/18,,,,11/19/18,,,,11/26/18,61A,5/8/19 14:11,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 11000XL 1.8 V3.49 3.49,31.147,4.9672,6.7801,1392 1756 2172 28242,MAG ANG DIAM LEN,Grey Intr cm 0.006368 0.006348 Scanner.Cal,GreyThdAutom-172,Smooth Off Area Off LWRatio Off,Off,1,20.8,0.9513,2.9886,0.2975,27.8819,0.019,0,0,18,8,3,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,27.3511,0.5307,0,0,0,0,0,0,0,0,2.2924,0.1046,0,0,0,0,0,0,0,0,0.7297,0.0333,0,0,0,0,0,0,0,0,0.0162,0.0017,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0
5,167A5,167,A,S,serpentine,serpentine,no,no,1,6,12/15/18,8/3/19,1,2,4,8/22/18,.,.,.,8/29/18,.,.,.,10/22/18,.,.,.,9/3/18,.,.,.,9/10/18,.,.,.,9/24/18,.,.,.,9/17/18,.,.,.,10/1/18,.,.,.,10/8/18,.,.,.,10/15/18,.,.,.,11/12/18,,,,11/19/18,,,,11/26/18,,,,,,,,,,,,,,,,,,0.2406,29.0676,0.013,0,0,38,63,7,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,28.7704,0.2972,0,0,0,0,0,0,0,0,1.8602,0.0521,0,0,0,0,0,0,0,0,0.5921,0.0166,0,0,0,0,0,0,0,0,0.0113,0.0007,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
